Date,News Title
11/14/2019,Credit Suisse says Tesla is running out of time as the major electric car maker ...
11/19/2019,"Forget ‘Ford v Ferrari,’ the Mustang Mach-E takes a shot at Tesla"
11/21/2019,Amazon and Tesla are among Morgan Stanley’s top ‘secular growth’ ideas
11/22/2019,"Tesla unveils its first electric pickup, the Cybertruck, starting at $39,900"
11/22/2019,Tesla claimed its pickup truck was ‘bulletproof’ — then smashed its windows with a metal ...
11/22/2019,Wall Street analysts say Tesla’s pickup is ‘really weird’ and Ford can ’breathe a sigh ...
12/2/2019,Tesla has rallied 55% in the last 3 months—here’s where two investing pros would buy ...
2/14/2020,Tesla shares jump after a $2 billion stock offering—Here’s what could happen now
2/19/2020,"Piper Sandler hikes Tesla price target to $928, highest on Wall Street"
2/19/2020,"This stock is outdoing even Tesla this year, but traders have a warning"
2/19/2020,Forget Tesla. Wall Street has found a new favorite speculative stock as Virgin Galactic surges ...
2/20/2020,"Stocks making the biggest moves midday: Virgin Galactic, Tesla, Groupon, Blue Apron & more"
2/23/2020,This is who is actually challenging Tesla
2/23/2020,‘Tesla killers’ aren’t killing Tesla at all
2/25/2020,"Here are Tuesday’s biggest analyst calls of the day: Tesla, Micron, Nvidia & more"
3/3/2020,General Motors to provide in-depth look at its all-electric vehicle plans in bid to convince ...
3/6/2020,General Motors takes ‘shot across the bow’ at Tesla with new all-electric vehicles
3/10/2020,Elon Musk says Tesla has now produced 1 million electric vehicles
3/19/2020,"Tesla memo: Essential employees, including production, should still come to work"
3/25/2020,"Tesla and one other auto stock are good bets as the group rebounds, traders say"
4/3/2020,Chanos says he is still ‘maximum short’ Tesla even with drop in last month
4/6/2020,"Jefferies upgrades Tesla, predicts nearly 30% comeback and return to energy efficiency post crisis"
4/9/2020,"Tesla’s China sales hit record high in March, industry association says"
4/14/2020,"Tesla shares pop after Credit Suisse upgrades stock, says company will increase electric car lead"
5/1/2020,Elon Musk says stay-at-home orders ‘fascist’ in expletive-laced rant during Tesla earnings call
5/1/2020,Coronavirus could help Tesla retain EV lead as traditional automakers pare electric investments
5/9/2020,"Stocks making the biggest moves midday: Tesla, Uber, MGM Resorts & more"
5/12/2020,"Wish there would be less drama around Tesla and Elon Musk, analyst says"
5/12/2020,Cramer: Elon Musk is ‘dead right’ to reopen Tesla’s auto manufacturing plant in California
5/16/2020,Tesla considers building its next factory in Austin or Tulsa
5/27/2020,Tesla to cut car prices in North America and China
6/6/2020,"Tesla is headed to $1,000, trader says. Here’s one way to ride the rally"
6/9/2020,"Top Tesla investor bets flying taxis are the future, taking a stake in German start-up ..."
6/11/2020,GM’s Cruise hires former Tesla and Lucid engineer to lead safety
6/12/2020,"Here are Friday’s biggest analyst calls of the day: Tesla, Caterpillar, airlines & more"
6/16/2020,Tesla plans to use Glencore cobalt in new Gigafactories
6/18/2020,Glass Lewis joins ISS in opposing Tesla chairwoman’s re-election to board
6/18/2020,Ford launching new driver system to compete with Tesla’s Autopilot and GM’s Super Cruise
6/18/2020,"Jefferies says momentum is building in Tesla, nearly doubles forecast to a Wall Street high ..."
6/20/2020,Elon Musk tweets Tesla will have to postpone its annual shareholder meeting
6/30/2020,Tesla hits 10-year milestone. Here’s where it heads next
7/3/2020,Options traders set to cash in on Tesla’s big delivery beat
7/3/2020,"Tesla stock hits record high and smashes Wall Street expectations, plus everything else you missed ..."
7/6/2020,Tesla mocks short-sellers with a sale of red satin shorts
9/24/2020,Is Tesla stock overhyped? Here are both sides of the issue
9/25/2020,Options Action: Bullish bets on Tesla
9/29/2020,Spotify CEO backs Tesla rival after pledging to invest over $1 billion in European ‘moonshots’
10/2/2020,"Tesla Q3 deliveries 139,300 versus 136,350 estimated"
10/6/2020,"Chamath Palihapitiya on why stocks are headed higher, misunderstood Tesla, bitcoin and space mining"
10/8/2020,"Here are Thursday’s biggest analyst calls of the day: Tesla, Citi, Snowflake, Target, Roku & ..."
10/9/2020,Jon Najarian’s call of the day: Tesla
10/9/2020,Tesla upgraded to Buy at New Street
10/9/2020,"Tesla could be on its way to $500, trader says. How to play the stock ..."
10/19/2020,"Here are Monday’s biggest analyst calls of the day: Tesla, Hershey, RH & more"
10/21/2020,Options Action: Tesla earnings
10/22/2020,Why this Tesla analyst expects earnings to show improvement in margins
10/22/2020,Tesla beats on top and bottom line in Q3
10/22/2020,Fmr. Ford CEO: Tesla has to prove they have a sustainable business model
10/22/2020,"Stocks making the biggest moves after hours: Tesla, Peloton, Align & more"
10/22/2020,Analyst explains why his price target for Tesla is only one third of the current ...
10/22/2020,Tesla not stuck in ‘zero-sum game’ of electric transition: Jefferies
10/22/2020,Tesla bear reacts to what Elon Musk calls the company’s ‘best quarter in history’
10/22/2020,Tesla shares can go higher if you believe its more than just a car company: ...
10/22/2020,Why this analyst has an outperform rating on Tesla: ‘It’s about the process tech’
10/23/2020,Two traditional auto stocks are outpacing high-momentum Tesla shares this month
10/23/2020,"Jim Cramer on Tesla earnings: The doubters were wrong, the believers were right"
10/23/2020,"Here are Friday’s biggest analyst calls of the day: Virgin Galactic, Intel, Pfizer, Tesla & ..."
10/27/2020,Tesla could become an ecosystem to push software driven revenue: Morgan Stanley’s Jonas
11/7/2020,"The race between Tesla, GM, Rivian and others to dominate electric pickup trucks"
11/10/2020,Tesla provides refunds to some Model S and Model X owners over touchscreen
11/14/2020,Ford is ‘absolutely’ interested in producing EV batteries like Tesla and GM
11/17/2020,Tesla will join the S&P 500 effective prior to trading on Dec. 21
11/17/2020,What makes Tesla different from other auto companies?
11/17/2020,Jim Cramer on Tesla joining the S&P 500
11/18/2020,"Stocks making the biggest moves midday: Tesla, Walgreens, DraftKings, Square and more"
11/18/2020,"You can’t evade reality, it was only a matter of time for Tesla to be ..."
11/18/2020,Tesla to join the S&P 500 — two traders on what to do with the ...
11/18/2020,Why Tesla shares spiked after getting added to the S&P 500: CNBC After Hours
11/20/2020,"Stocks making the biggest moves midday: Shopify, L Brands, Tesla, GoPro & more"
11/20/2020,"Another 20% rally is in store for Tesla, trader predicts after his last money-making bet"
11/24/2020,Tesla tops $500 billion market value as shares hit all-time high
11/25/2020,"Stocks making the biggest moves midday: Tesla, Dollar Tree, Carnival, Best Buy and more"
4/28/2021,"Tesla’s strong Q1 earnings boosted by EV credits, bitcoin sale"
5/12/2021,Cramer on sales of Tesla’s made-in-China cars tumbling 27% in April
5/13/2021,Ford plans to launch technology for over-the-air upgrades to millions of cars — just like ...
5/14/2021,"Tesla’s Model Y slumps in China sales rankings, data shows"
5/14/2021,"Here are Friday’s biggest analyst calls of the day: Tesla, Zoom, Disney, Walmart, Target & ..."
5/25/2021,Tesla CEO Elon Musk says he talked to ‘North American bitcoin miners’ about sustainability
6/1/2021,China Tesla rival Nio sees deliveries fall in May as chip shortage bites
6/3/2021,Tesla’s dominance of China’s EV market could ‘dissipate’ as local manufacturers catch up: China Renaissance
6/11/2021,"Here are Friday’s biggest analyst calls of the day: Exxon, Apple, JPMorgan, Bed Bath & ..."
6/11/2021,Top analyst Toni Sacconaghi on his concerns about Tesla’s valuation
6/12/2021,Jay Leno tries to break record in Tesla’s new Model S Plaid on ’Jay Leno’s ...
6/14/2021,"Here are Monday’s biggest analyst calls of the day: Wendy’s, Microsoft, FedEx, Peloton, Tesla & ..."
1/24/2022,"Tesla has the ability to follow Amazon’s path, says Canaccord Genuity analyst"
1/25/2022,"Bitcoin, Zoom, and Tesla are some of today’s investments: Pro Market Movers Jan. 24"
1/28/2022,"Tesla, Apple, and Intel are some of today’s picks: Pro Market Movers Jan. 27"
1/28/2022,"TD Ameritrade chief strategist breaks down shares of Apple, Microsoft and Tesla"
1/29/2022,"Tesla, Apple, and Robinhood are some of today’s picks: Pro Market Movers Jan. 28"
1/31/2022,"Tesla investors are committed to the company for the long-term, says Interactive Brokers’ Peterffy"
2/3/2022,"Technology is where they are king, says Pete Najarian regarding Tesla"
2/4/2022,Volvo and Northvolt to build gigafactory in Sweden with a former Tesla exec in charge
2/9/2022,"Transportation Sec. Pete Buttigieg weighs in on Tesla, EV infrastructure"
2/16/2022,"Tesla, Chipotle, and Wynn are some of today’s stock picks: Pro Market Movers Feb. 15"
2/23/2022,From Tesla to Jeep: The end of 3G networks is a problem for millions of ...
2/24/2022,"Elon Musks says Biden administration ignores Tesla, wants seat at the table"
2/25/2022,Judge rejects Tesla CEO Elon Musk’s attempt to bring SEC before the court
1/26/2023,"Nasdaq closes 1.7% higher as Tesla pops, Dow adds 200 points"
3/6/2024,Elon Musk reportedly met with Donald Trump in Florida
3/18/2024,‘Find growth’: Strategist tells investors not to worry about high stock valuations
3/18/2024,"Stocks making the biggest moves premarket: Google, HashiCorp, Nvidia and more"
3/19/2024,"China’s BYD pushes into emerging markets amid policy uncertainty in the U.S., Europe"
3/19/2024,"China’s military, state media slam U.S. after report on SpaceX spy satellites"
4/3/2024,5 things to know before the stock market opens Wednesday
4/4/2024,"Stocks making the biggest moves midday: Intel, Spotify, Ulta Beauty and more"
1/23/2019,Tesla downgrade by RBC means more analysts on Wall Street have ‘sell’ ratings than ‘buy’ ...
4/24/2019,"Elon Musk sent a two-line email telling employees how great Tesla’s autonomy day was, but ..."
11/22/2019,"Watch Tesla unveil its electric pickup, Cybertruck, in a demo gone awry"
11/27/2019,"Cramer, outspoken about Tesla stock and Elon Musk, says he’s ready to buy his wife ..."
12/4/2019,Porsche attracting Tesla owners with all-electric Taycan sports car
12/6/2019,"Tesla cars built in China have been recommended for government subsidies, report says"
12/12/2019,Jim Cramer turns bullish on Tesla — ‘I’m a true believer’
12/20/2019,Here’s who’s actually putting down orders for Tesla’s Cybertruck
12/30/2019,Tesla delivers first China-made Model 3 sedans in just under a year
1/3/2020,"Stocks making the biggest moves midday: Tesla, AMD, Peloton Interactive, United Airlines & more"
1/7/2020,Elon Musk says will design a future Tesla car in China for global market
1/8/2020,"Tesla moves into China as shares double and market cap nears value of GM, Ford ..."
1/10/2020,"Chinese vehicle registration data shows big Tesla potential, Piper says as it hikes target by ..."
1/14/2020,"Stocks making the biggest moves midday: Tesla, Lululemon, General Electric, Nvidia & more"
1/14/2020,Past trends indicate Tesla shares have room to run beyond $500
1/14/2020,"Tesla is an ‘existential threat’ to automakers, says analyst with $612 price target"
1/23/2020,"Here are Thursday’s biggest analyst calls of the day: Tesla, General Electric, Micron & more"
2/3/2020,"Tesla jumps 19.9%, biggest one-day gain in 6 years"
2/4/2020,Ron Baron: Tesla could hit $1 trillion in revenue in 10 years
2/5/2020,"Elon Musk is as if ‘Thomas Edison and Henry Ford made a baby,’ analyst says ..."
2/5/2020,Tesla makes a run at biggest market ‘bubble’ ever
2/5/2020,Tesla climbs 14% in another monster session—here’s what Wall Street sees ahead
2/5/2020,Elon Musk asks Twitter fans to vote on new Tesla Gigafactory in Texas
2/10/2020,Tesla’s parabolic trading may be a warning about a broader stock market sell-off
2/11/2020,"Tesla Model 3 sales could be ‘cannibalized’ by Model Y crossover, Bernstein says"
2/14/2020,"Stocks making the biggest moves midday: Tesla, Equifax, Kraft Heinz, Cisco & more"
2/18/2020,Tesla’s biggest bull: Wall Street skepticism is ‘the best wall of worry’ I’ve experienced
2/19/2020,Here are the hedge funds making a killing on Tesla’s wild rally this year
2/21/2020,Tesla gets green light from German court to chop down trees for its new Gigafactory
2/22/2020,Free trading fuels rampant speculation in stocks like Tesla and Virgin Galactic
3/18/2020,"Tesla’s Fremont factory is still running after county orders ‘minimum basic operations’ only, says report"
3/24/2020,"Analysts upgraded a bunch of stocks as markets look for a rebound, including Nvidia, Tesla, ..."
3/28/2020,Tesla to slash 75% of staff at Nevada factory due to coronavirus
4/3/2020,Tesla pops on better-than-expected delivery numbers
4/14/2020,"Analysts are bullish on stocks like Tesla, Netflix and Zoom as earnings season gets underway"
4/15/2020,"Stocks making the biggest moves midday: Amazon, Roku, Tesla, JPMorgan and more"
7/21/2020,There are cracks in the Tesla story: CFRA senior equity analyst
7/21/2020,"Stocks making the biggest moves after hours: IBM, Moderna, Tesla and more"
7/22/2020,Why this analyst downgraded Tesla to ‘market perform’
7/22/2020,Options traders bet Tesla could add $75 billion in market cap by Friday
7/22/2020,"Tesla valuation might start to ‘shift’ when rivals launch electric models, analyst says"
7/23/2020,Former Ford CEO Mark Fields on what to expect from Tesla earnings
7/23/2020,Tesla joining the S&P 500 would mean prestige: WSJ’s Tim Higgins
7/23/2020,"Tesla beats on Q2 EPS, $2.18 adjusted vs. $0.03 expected"
7/23/2020,Tesla cruises past earnings and revenue expectations—Four experts on what they’re watching now
7/23/2020,"Tesla shares keep climbing, but a reversal could hit in fourth quarter: Barclays"
7/23/2020,"Tesla’s stock is decoupled from underlying fundementals, says CFRA’s Nelson"
7/23/2020,Kulina: You’re getting in front of a freight train with Tesla
7/23/2020,SEC Chair Clayton says he’s worried about short-term trading in stocks like Tesla
7/23/2020,Jim Cramer: Tesla CEO Elon Musk is a ‘big thinker’
7/25/2020,Why the complete version of Tesla Full Self-Driving will take longer than Elon Musk says ...
7/28/2020,"Here are the biggest analyst calls of the day: Shopify, Tesla, Alphabet & more"
