News_Headline,Positive,Negative,Neutral,Prediction
2020-12-31,0.0007944938261061907,0.9989487528800964,0.0002568250638432801,Negative
2020-12-31,0.00042110279900953174,0.00020668227807618678,0.9993721842765808,Neutral
2020-12-29,0.999180257320404,0.0006091720424592495,0.00021061157167423517,Positive
2020-12-29,0.999180257320404,0.0006091720424592495,0.00021061157167423517,Positive
2020-12-28,0.999180257320404,0.0006091720424592495,0.00021061157167423517,Positive
2020-12-25,0.00012566419900394976,0.0005167513736523688,0.9993575215339661,Neutral
2020-12-25,0.00020764890359714627,0.00024410711193922907,0.9995481371879578,Neutral
2020-12-25,0.0002717245079111308,0.00026766903465613723,0.9994605183601379,Neutral
2020-12-25,0.00012566419900394976,0.0005167513736523688,0.9993575215339661,Neutral
2020-12-23,0.0002717245079111308,0.00026766903465613723,0.9994605183601379,Neutral
2020-12-22,0.00030024032457731664,0.00027930602664127946,0.9994205236434937,Neutral
2020-12-22,0.0002717245079111308,0.00026766903465613723,0.9994605183601379,Neutral
2020-12-22,0.0002513456274755299,0.0002098585682688281,0.9995388984680176,Neutral
2020-12-21,0.9978950023651123,0.001719875494018197,0.00038505770498886704,Positive
2020-12-21,0.9991886019706726,0.0006564315408468246,0.00015500030713155866,Positive
2020-12-21,0.0005546350148506463,0.9991760849952698,0.0002692280104383826,Negative
2020-12-21,0.0005545658641494811,0.9991777539253235,0.00026766961673274636,Negative
2020-12-20,0.00024781934916973114,0.00022489191906061023,0.9995273351669312,Neutral
2020-12-20,0.00024781934916973114,0.00022489191906061023,0.9995273351669312,Neutral
2020-12-20,0.00029455512412823737,0.0004209127218928188,0.999284565448761,Neutral
2020-12-19,0.00029455512412823737,0.0004209127218928188,0.999284565448761,Neutral
2020-12-19,0.00045635522110387683,0.00018547268700785935,0.9993581175804138,Neutral
2020-12-19,0.0006035788101144135,0.9991130232810974,0.0002833743637893349,Negative
2020-12-19,0.00029455512412823737,0.0004209127218928188,0.999284565448761,Neutral
2020-12-19,0.9993317723274231,0.00047970161540433764,0.00018847688625101,Positive
2020-12-19,0.9992043375968933,0.0006200263742357492,0.00017564580775797367,Positive
2020-12-18,0.9993317723274231,0.00047970161540433764,0.00018847688625101,Positive
2020-12-18,0.0006718778167851269,0.00017534905055072159,0.9991527795791626,Neutral
2020-12-18,0.9992091059684753,0.0004472770378924906,0.00034367028274573386,Positive
2020-12-18,0.0006069669616408646,0.99905925989151,0.00033378091757185757,Negative
2020-12-18,0.00045635522110387683,0.00018547268700785935,0.9993581175804138,Neutral
2020-12-18,0.0006035788101144135,0.9991130232810974,0.0002833743637893349,Negative
2020-12-18,0.0006718778167851269,0.00017534905055072159,0.9991527795791626,Neutral
2020-12-18,0.9992091059684753,0.0004472770378924906,0.00034367028274573386,Positive
2020-12-17,0.9992726445198059,0.0005219981539994478,0.0002053172211162746,Positive
2020-12-17,0.00016349804354831576,0.0004939250065945089,0.9993426203727722,Neutral
2020-12-17,0.0005756312748417258,0.9990936517715454,0.00033072891528718174,Negative
2020-12-17,0.008979781530797482,0.0008295722072944045,0.9901906251907349,Neutral
2020-12-17,0.0003066147619392723,0.0003248860011808574,0.9993684887886047,Neutral
2020-12-17,0.0005756312748417258,0.9990936517715454,0.00033072891528718174,Negative
