,Date,Content,label,score
0,2020-12-31,Tesla short sellers lost billions more on the electric-vehicle maker than any other company in 2020 ,negative,0.9985470175743103
1,2020-12-31,Enphase joins Tesla as the latest clean tech firm to enter the S&amp;P 500 ,neutral,0.9998706579208374
2,2020-12-29,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever ",positive,0.9806026816368103
3,2020-12-28,"In 2021, the breadth of the competitive attack that Tesla faces will be greater than ever ",positive,0.9806026816368103
4,2020-12-25,Elon Musk says it’s “impossible” to take Tesla private now ,neutral,0.9945105314254761
5,2020-12-25,Elon Musk has made millionaires out of Tesla's most loyal fans. Meet one of them ,neutral,0.5820987820625305
6,2020-12-25,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting ",neutral,0.9997816681861877
7,2020-12-23,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting ",neutral,0.9997816681861877
8,2020-12-22,Elon Musk says he once tried to sell Tesla to Apple for $60 billion ,neutral,0.9998483657836914
9,2020-12-22,"Elon Musk says he tried to approach Apple years ago about the possibility of buying Tesla for about $60 billion, but Tim Cook refused to take the meeting ",neutral,0.9997816681861877
10,2020-12-22,"Apple’s reported foray into making its own self-driving, electric cars creates “a new Tesla bear case,” according to Morgan Stanley ",neutral,0.8781290650367737
11,2020-12-21,It didn’t take long for Tesla’s big price swings to heavily influence the S&amp;P 500 after its addition to the benchmark ,positive,0.8017705678939819
12,2020-12-21,"Fueled by the Tesla effect, convertible bonds are poised for one of their best-ever years ",positive,0.9992148876190186
13,2020-12-21,Tesla shares fall 5% after being added to the S&amp;P ,negative,0.9980685114860535
14,2020-12-21,Tesla shares tumble in their trading debut on the S&amp;P 500 Index ,negative,0.9979183077812195
15,2020-12-20,"Elon Musk inquires about converting “large transactions” of Tesla Inc.’s balance sheet into Bitcoin in a Twitter exchange with Michael Saylor, a prominent booster of the digital currency ",neutral,0.9998679161071777
16,2020-12-20,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show ",neutral,0.5120014548301697
17,2020-12-19,"In a tumultuous year for stocks, few stories have been as dramatic as the breakout for Tesla — as these charts show ",neutral,0.5120014548301697
18,2020-12-19,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith ,neutral,0.9835394620895386
19,2020-12-19,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says ",negative,0.9966061115264893
20,2020-12-19,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index ,positive,0.9995829463005066
21,2020-12-19,Mechanical buying by index-tracking funds sent Tesla's stock to a record $695 in the auction used by exchanges to finish trading ,positive,0.9991727471351624
22,2020-12-18,Elon Musk’s personal fortune hit a new high after adding $9 billion Friday as Tesla prepares to make its debut in the S&amp;P 500 Index ,positive,0.9995829463005066
23,2020-12-18,Can any other startup meaningfully replicate Tesla’s success? ,neutral,0.9815183281898499
24,2020-12-18,Tesla's most loyal fans have become millionaires this year — on paper ,positive,0.9922261238098145
25,2020-12-18,Tesla halted some construction work at its German plant project after failing to make a security deposit with local authorities ,negative,0.9924226403236389
26,2020-12-18,This 32-year-old put everything he had in Tesla and became a millionaire. Meet Brandon Smith ,neutral,0.9835394620895386
27,2020-12-18,"Tesla’s historic entry into the S&amp;P 500 could be bad news for other stocks in the index—at least temporarily, Citadel's trading chief says ",negative,0.9966061115264893
28,2020-12-17,Tesla was upgraded by S&amp;P Global Ratings after a recent share sale boosted its cash to record levels ,positive,0.999695897102356
29,2020-12-17,Mattel is telling customers who pre-ordered toy versions of Tesla’s Cybertruck that they won't ship for another five months and won't arrive for Christmas ,neutral,0.8994343876838684
30,2020-12-17,A group of Wall Street data nerds argue Tesla may prove to be a drag on the S&amp;P 500 ,negative,0.9979946613311768
31,2020-12-17,Tesla is the only U.S. automaker to meet a commitment to equip all its models with automatic emergency braking almost two years ahead of schedule ,neutral,0.8852888941764832
32,2020-12-17,"Tesla's addition will only have a minimal impact on the S&amp;P 500 Index's valuations, Goldman says ",neutral,0.99310702085495
33,2020-12-15,Volkswagen CEO Herbert Diess will pit the company's largest plant against the Tesla factory under construction near Berlin ,neutral,0.9995521903038025
